gender,ages,category,rank,keyword,crawled_at
여성,30대,과자/베이커리,8,무화과호두파이,2025-10-26 18:01:22
여성,30대,과자/베이커리,9,마가렛트고구마,2025-10-26 18:01:22
여성,30대,과자/베이커리,10,할로윈사탕,2025-10-26 18:01:22
여성,40대,농산물,1,쌀20kg,2025-10-26 18:01:38
여성,40대,농산물,2,쌀10kg,2025-10-26 18:01:38
여성,40대,농산물,3,사과,2025-10-26 18:01:38
여성,40대,농산물,4,고구마,2025-10-26 18:01:38
여성,40대,농산물,5,귤,2025-10-26 18:01:38
여성,40대,농산물,6,곶감,2025-10-26 18:01:38
여성,40대,농산물,7,감홍사과,2025-10-26 18:01:38
여성,40대,농산물,8,쌀,2025-10-26 18:01:38
여성,40대,농산물,9,무화과,2025-10-26 18:01:38
여성,40대,농산물,10,토마토,2025-10-26 18:01:38
여성,40대,음료,1,레몬즙,2025-10-26 18:01:38
여성,40대,음료,2,두유,2025-10-26 18:01:38
여성,40대,음료,3,그릭요거트,2025-10-26 18:01:38
여성,40대,음료,4,맥심모카골드,2025-10-26 18:01:38
여성,40대,음료,5,생강청,2025-10-26 18:01:38
여성,40대,음료,6,쌍화차,2025-10-26 18:01:38
여성,40대,음료,7,생수,2025-10-26 18:01:38
여성,40대,음료,8,커피믹스,2025-10-26 18:01:38
여성,40대,음료,9,일리커피캡슐,2025-10-26 18:01:38
여성,40대,음료,10,cca주스,2025-10-26 18:01:38
여성,40대,과자/베이커리,1,두바이쫀득쿠키,2025-10-26 18:01:38
여성,40대,과자/베이커리,2,화과자,2025-10-26 18:01:38
여성,40대,과자/베이커리,3,칸쵸,2025-10-26 18:01:38
여성,40대,과자/베이커리,4,할로윈사탕,2025-10-26 18:01:38
